"id_offre","intitule","description","image","qrcode","date_de_creation","nb_places","nombre_de_candidatures"
"1","Java Developper","A high-level programming language","https://www.actia.com/images/logo-actia.png",NULL,"2024-03-01 23:41:03.000000","2","3"
"6","Ingenieur Data Science 400DT","Creer des algorithmes d'apprentissage automatique","/assets/vermegpng.png",NULL,"2024-03-03 18:47:14.000000","2","10"
"18","Stage Ingénieur Systemes Embarques (1 an d'experience)","Conception et developpement de logiciels embarques pour des dispositifs IoT, maitrise de Linux embarque, des protocoles IP et des outils de DevOps.","https://www.actia.com/images/logo-actia.png",NULL,"2024-03-06 23:08:46.000000","1","1"
"20","react js et react native","Developpement d'une application web native","https://www.actia.com/images/logo-actia.png","http://api.qrserver.com/v1/create-qr-code/?data=OffreDetails:0,Titre:Developpeur google,Description:Developpement d'une application web native, Nombre de place:5, Date de création:2024-03-06T23:33:59.540, Sociéte:actia&size=100x100","2024-03-06 23:33:59.000000","5","5"
"22","Stage Développeur Firmware (6 mois d'expérience) 300dt","Expérience dans le développement de firmwares pour des systèmes embarqués, familiarité avec Linux, DevOps et l'intégration d'IP dans des applications embarquees. ","/assets/vermegpng.png",NULL,"2024-03-31 22:39:48.000000","3","9"
"23","Stage Ingénieur DevOps Cloud (1 an d'expérience) 200dt","Gestion des infrastructures cloud, automatisation avec Terraform, mise en place de pipelines CI/CD, surveillance avec Grafana et mise en place de workflows avec Apache Airflow.","/assets/vermegpng.png",NULL,"2024-03-31 22:39:48.000000","5","8"
"24","Stage Administrateur Cloud (6 mois d'expérience)","Gérer les déploiements cloud, la configuration de serveurs Linux, l'utilisation de Vagrant pour la création d'environnements de développement, et la mise en place d'infrastructures cloud évolutives.","/assets/vermegpng.png",NULL,"2024-03-31 22:39:48.000000","4","2"
"25","Stage Développeur Java Android (6 mois d'expérience) ","Participer au développement d'applications Android en utilisant Java et les dernières technologies Google.",NULL,NULL,NULL,"2","2"
"26","Stage Développeur Web PHP Laravel (6 mois d'expérience) ","Conception et développement d'applications web avec Laravel, PHP et des technologies front-end comme Vue.js.",NULL,NULL,NULL,"5","7"
"29","Stage Développeur Machine Learning Python (1 an d'expérience)","Expérience en Python et développement d'algorithmes de machine learning avec des bibliothèques comme scikit-learn ou TensorFlow",NULL,NULL,NULL,"1","3"
"30","Stage Développeur Android Kotlin (6 mois d'expérience)","Participer au développement d'applications Android en utilisant Kotlin et les dernières technologies Google.",NULL,NULL,NULL,"2","2"
"31","Stage Développeur React.js (6 mois d'expérience)","Travailler sur des projets utilisant React.js, JavaScript et des technologies associées pour le développement d'interfaces utilisateur.",NULL,NULL,NULL,"6","4"
"32","Stage Développeur Back-end PHP Symfony (6 mois d'expérience)","Expérience avec Symfony, PHP et développement back-end pour des applications web.",NULL,NULL,NULL,"6","4"
"33","Stage Développeur Mobile iOS (1 an d'expérience)","Conception et développement d'applications iOS en Swift, avec une connaissance préalable d'Objective-C",NULL,NULL,NULL,"1","3"
"34","Stage Développeur Java Spring Boot (6 mois d'expérience) 250dt","Participer au développement d'applications Java avec Spring Boot et Hibernate.",NULL,NULL,NULL,"3","11"
"35","Stage Développeur Web Front-end (1 an d'expérience) 500dt","Maîtrise de HTML, CSS, JavaScript et frameworks comme React.js pour la création d'interfaces utilisateur dynamiques.",NULL,NULL,NULL,"8","20"
"36","Stage Développeur Python (6 mois d'expérience)","Contribuer à des projets Python, notamment dans le domaine du machine learning, avec des frameworks comme TensorFlow ou PyTorch",NULL,NULL,NULL,"1","1"
"37","Stage Développeur React Native (6 mois d'expérience) ","Expérience avec React Native, JavaScript et développement d'applications mobiles multiplateformes ",NULL,NULL,NULL,"1","3"
"38","Stage Développeur Web Full Stack (1 an d'expérience)","Conception et développement d'applications web avec Node.js, React.js et MongoDB",NULL,NULL,NULL,"2","2"
"39","Stage Développeur C++ (1 an d'expérience) ","Expérience avancée en C++ pour le développement de logiciels et d'applications.",NULL,NULL,NULL,"1","1"
"40","Stage Développeur Front-end Vue.js (6 mois d'expérience)","Participer à des projets utilisant Vue.js, HTML, CSS et JavaScript pour le développement d'interfaces utilisateur.",NULL,NULL,NULL,"1","3"
"41","Stage Développeur iOS Swift (6 mois d'expérience)"," Contribuer au développement d'applications iOS en Swift, avec une connaissance préalable d'Objective-C.",NULL,NULL,NULL,"2","3"
"42","Stage Développeur Web PHP (1 an d'expéri ence) 200dt","Expérience requise en PHP, Laravel, Vue.js et HTML/CSS pour le développement de sites web dynamiques. ",NULL,NULL,NULL,"4","16"
"43","Stage Développeur Mobile Android (6 mois d'expérience)","Participation à la conception et au développement d'applications mobiles Android en Java et Kotlin.",NULL,NULL,NULL,"2","3"
"44","Stage Développeur Java Back-end (6 mois d'expérience)","Travailler sur des projets Java EE, Spring Framework et Hibernate",NULL,NULL,NULL,"3","4"
"45","Stage Développeur Full Stack (1 an d'expérience) ","Maîtrise de Java, React.js, Node.js et expérience avec les bases de données MongoDB.",NULL,NULL,NULL,"2","3"
"46","Stage Développeur Java Junior (6 mois d'expérience) ","Conception et développement d'applications web avec Java,",NULL,NULL,NULL,"2","4"
"47","Analyste Data Science 500dt"," Nous cherchons un analyste en science des données pour analyser et interpréter nos vastes ensembles de données. Vous serez responsable de l'extraction, du nettoyage et de l'analyse des données, ainsi que de la création de modèles prédictifs pour soutenir",NULL,NULL,NULL,"3","8"
"48","Ingénieur BI (Business Intelligence)","Nous recrutons un ingénieur en intelligence d'affaires pour développer et maintenir nos solutions BI. Vous travaillerez en étroite collaboration avec les équipes métier pour comprendre leurs besoins et concevoir des tableaux de bord et des rapports intera",NULL,NULL,NULL,"2","1"
"49","Ingénieur Embarqué en Automatisme","Nous recherchons un ingénieur embarqué spécialisé en automatisme pour rejoindre notre équipe de développement. Vous serez chargé de concevoir, développer et tester des systèmes embarqués pour nos produits automatisés.",NULL,NULL,NULL,"2","1"
"50","Développeur Firmware IoT","Nous sommes à la recherche d'un développeur firmware expérimenté pour rejoindre notre équipe IoT. Vous travaillerez sur le développement et l'optimisation du firmware pour nos dispositifs embarqués, en collaboration avec les équipes de conception matériel",NULL,NULL,NULL,"1","1"
"51","Ingénieur Embarqué en Systèmes Temps Réel","Rejoignez notre équipe en tant qu'ingénieur embarqué spécialisé dans les systèmes temps réel. Vous serez chargé de concevoir et de des logiciels embarqués pour des applications critiques, en assurant la fiabilité et les performances nécessaires.",NULL,NULL,NULL,"2","1"
"52","Développeur Firmware Automobile","Nous recherchons un développeur firmware expérimenté pour contribuer au développement de solutions embarquées pour l'industrie automobile. Vous travaillerez sur le firmware des systèmes de contrôle électronique et des interfaces véhicule",NULL,NULL,NULL,"2","1"
"53","Ingénieur Embarqué en Télécommunications","Joignez-vous à notre équipe en tant qu'ingénieur embarqué spécialisé dans les télécommunications. Vous participerez au développement de logiciels embarqués pour les équipements de réseau et les dispositifs de communication.",NULL,NULL,NULL,"2","0"
"54","Analyste BI et Data Mining 350dt","Nous recrutons un analyste BI expérimenté pour explorer nos données et identifier des tendances significatives à l'aide de techniques de data mining. Vous utiliserez des outils de BI avancés pour générer des insights exploitables.",NULL,NULL,NULL,"2","6"
"55","Développeur Big Data","Rejoignez notre équipe en tant que développeur spécialisé dans les technologies Big Data. Vous participerez à la conception, au développement et au déploiement de pipelines de données pour le traitement et l'analyse de grandes quantités de données",NULL,NULL,NULL,"1","1"
"56","Data Scientist en Santé","Nous cherchons un data scientist passionné pour travailler sur des projets liés à la santé. Vous serez responsable de l'analyse des données médicales, de la création de modèles prédictifs et de la génération d'informations cliniquement significatives.",NULL,NULL,NULL,"1","2"
"57"," Ingénieur Logiciel Embarqué en Aéronautique","Rejoignez notre équipe en tant qu'ingénieur logiciel embarqué pour des applications aéronautiques. Vous participerez à la conception et au développement de logiciels critiques pour les systèmes de contrôle embarqués dans les avions.",NULL,NULL,NULL,"2","1"
"58","Développeur Embarqué IoT","Nous recherchons un développeur spécialisé dans l'IoT pour concevoir et implémenter des systèmes embarqués intelligents. Vous travaillerez sur des projets innovants impliquant la connectivité des appareils et la collecte de données en temps réel",NULL,NULL,NULL,"1","1"
"59","Architecte Embarqué en Automobile","Rejoignez notre équipe en tant qu'architecte logiciel embarqué pour l'industrie automobile. Vous serez responsable de la conception et de l'architecture des systèmes électroniques embarqués, en garantissant la sécurité et la fiabilité.",NULL,NULL,NULL,"2","2"
"60","Consultant BI et Analyse de Données","Nous recrutons un consultant expérimenté en BI pour fournir des solutions d'analyse de données à nos clients. Vous travaillerez sur des projets variés allant de la modélisation de données à la création de tableaux de bord interactifs",NULL,NULL,NULL,"2","1"
"61","Ingénieur Big Data 400DT","Rejoignez notre équipe en tant qu'ingénieur spécialisé dans le Big Data ",NULL,NULL,NULL,"2","3"
"62","Analyste Data Science en Finance","Nous cherchons un analyste en data science pour travailler sur des projets financiers. Vous utiliserez des techniques d'analyse avancées pour extraire des insights à partir de données financières et pour soutenir la prise de décision stratégique.",NULL,NULL,NULL,"1","1"
